brand_name,avg_rating
SAUBHAGYA,4.571428571
LUYK,4.101225865898192
HEART UP MY SLEEVES,4.101225865898192
SWTANTRA,4.101225865898192
SHAILY,4.101225865898192
ALLEN SOLLY WOMAN,4.101225865898192
SQEW,3.979591837
TOKYO TALKIES,4.388297872
SASSAFRAS,4.208806818
ANAYNA,4.571428571
ROADSTER,4.111111111
OXOLLOXO,3.423076923
SAREE MALL,4.392857143
SHAE BY SASSAFRAS,4.101225865898192
SASSAFRAS,4.160714286
TANKHI,3.865384615
BIBA,4.101225865898192
CLORA CREATION,4.333333333
WHITE FIRE,2.0
LILL,3.5
KALINI,3.6
ANTI CULTURE,4.101225865898192
MAX,4.101225865898192
SASSAFRAS,4.238095238
UPTOWNIE LITE,4.204585538
BERRYLUSH,4.508333333
TOKYO TALKIES,3.94980695
VISHUDH,4.542857143
FABLESTREET,4.483870968
SASSAFRAS,4.208333333
DIVYANK,4.233959819
SHAILY,4.101225865898192
INWEAVE,3.857142857
FOREVER 21,4.818181818
PARALIANS,4.888888889
FOREVER 21,4.101225865898192
FASHION BASKET,4.101225865898192
APNISHA,3.5
URBANIC,4.101225865898192
URBANIC,4.101225865898192
RAJNANDINI,4.017045455
ANUBHUTEE,4.347490347
MITERA,4.086805556
HYPERNATION,4.513513514
HERE&NOW,4.099770642
ETHNOVOGUE,4.310344828
SOCH,4.515625
BERRYLUSH,4.454545455
TOKYO TALKIES,4.35
LIBAS,4.298850575
MANGO,4.101225865898192
MAX,4.101225865898192
VASTRADO,4.25
NIFTY,4.101225865898192
MANGO,4.101225865898192
ATURABI,4.101225865898192
H&M,4.101225865898192
DUPATTA BAZAAR,4.415584416
DOLCE CRUDO,4.300851466
SANGRIA,3.954220315
FABLESTREET,4.302681992
DRESSBERRY,4.095238095
MANGO,4.204545455
ZINK LONDON,4.0
LUNI,4.56
INDO ERA,4.105263158
H&M,4.545454545
ALL ABOUT YOU,3.642857143
ONE FRIDAY,4.101225865898192
SANGRIA,4.193548387
SOCH,4.101225865898192
SHAE BY SASSAFRAS,4.101225865898192
TOKYO TALKIES,4.101225865898192
ALLEN SOLLY WOMAN,4.101225865898192
ETHER,3.818359375
SCORPIUS,3.731707317
ANAYNA,4.299465241
SASSAFRAS,3.953736655
SUTA,4.235
HARVARD,4.454545455
URBANIC,4.454545455
MANGO,4.526315789
BIBA,4.101225865898192
AAYNA,3.421052632
TITLIYAN,4.101225865898192
OXOLLOXO,4.101225865898192
GRIFFEL,4.101225865898192
WEAVERS VILLA,4.101225865898192
ALLEN SOLLY WOMAN,4.101225865898192
BAISACRAFTS,4.101225865898192
VENI VIDI VICI,4.364195533
SASSAFRAS,4.143987342
JUNIPER,4.21875
SANGRIA,3.927419355
BHAMA COUTURE,4.120805369
DRESSBERRY,2.962962963
ROADSTER,4.117021277
KASSUALLY,4.357142857
HARVARD,3.923076923
SASSAFRAS,4.308900524
SKY HEIGHTS,5.0
BIBA,4.101225865898192
DRESSBERRY,4.101225865898192
ONLY,4.101225865898192
INDDUS,4.101225865898192
ARHI,4.101225865898192
AARIKA,4.101225865898192
ESPRESSO,4.235294118
STREET 9,4.512544803
INWEAVE,4.103896104
ROADSTER,4.394736842
PUMA,4.101225865898192
SASSAFRAS,4.307692308
LEVIS,4.4
ANOUK,4.538461538
LIBAS,4.603448276
FRISKERS,4.363636364
STYLEE LIFESTYLE,4.101225865898192
MANGO,4.101225865898192
APRATIM,4.101225865898192
URBANIC,4.101225865898192
STYLI,4.101225865898192
KLOTTHE,4.101225865898192
FASHION BASKET,4.101225865898192
TOKYO TALKIES,4.246153846
SHAE BY SASSAFRAS,4.236821245
ANAYNA,4.105263158
SAREE MALL,4.330663616
BIBA,4.101225865898192
MANGO,3.571428571
TAAVI,4.101225865898192
ONLY,5.0
H&M,4.101225865898192
BANNOS SWAGGER,4.101225865898192
WEARJUKEBOX,4.101225865898192
KIROSHE BY KIRAN,4.101225865898192
ARTEASTRI,4.101225865898192
MONTE CARLO,4.101225865898192
BOSTREET,4.101225865898192
VAN HEUSEN WOMAN,4.101225865898192
HERE&NOW,4.101225865898192
LOOM LEGACY,4.552631579
ROADSTER,4.198473282
ROADSTER,4.441176471
RUTE,3.769230769
H&M,4.3125
ANUBHUTEE,3.736111111
MAST & HARBOUR,4.101225865898192
SAKA DESIGNS,3.277777778
VARANGA,3.574074074
RAISIN,4.101225865898192
MAST & HARBOUR,4.833333333
ATHENA,4.6
FABALLEY,4.101225865898192
MITERA,3.933333333
NATILENE,4.101225865898192
SOCH,4.101225865898192
STYLI,4.101225865898192
TOKYO TALKIES,3.982222222
FABALLEY,4.037037037
U&F,4.074829932
PUMA,4.101225865898192
TIARA,3.666666667
RAIN & RAINBOW,4.333333333
DUPATTA BAZAAR,4.0
SUTA,4.5125
KAPPA,3.458333333
ETHNIC JUNCTION,4.101225865898192
TOKYO TALKIES,4.101225865898192
MYSHKA,3.935897436
TOKYO TALKIES,4.322429907
MANGO,4.2
VAN HEUSEN WOMAN,4.101225865898192
JUNIPER,4.101225865898192
BITIYA BY BHAMA,4.101225865898192
INDYA,4.193548387
SASSAFRAS,4.337899543
U&F,4.369565217
JAIPUR KURTI,4.225806452
ANOUK,3.597222222
ROADSTER,4.0
ANOUK,3.553571429
LEVIS,4.565217391
PANCHHI,4.125
AARIKA,4.101225865898192
H&M,4.5
ALL ABOUT YOU,3.555555556
IKI CHIC,4.101225865898192
JOE HAZEL,5.0
ALAYA BY STAGE3,4.101225865898192
INDIAN HERITAGE,4.101225865898192
H&M,4.101225865898192
TOKYO TALKIES,4.4002079
SASSAFRAS,3.97254902
ROADSTER,4.101225865898192
STYLEE LIFESTYLE,3.666666667
RUTE,3.857142857
SZTORI,4.8125
ROADSTER,4.25
SHAE BY SASSAFRAS,4.4
MINOS,4.101225865898192
WARTHY ENT,4.101225865898192
MONTREZ,3.481481481
JC COLLECTION,4.101225865898192
LC WAIKIKI,4.101225865898192
BAISACRAFTS,4.101225865898192
CHARUKRITI,4.101225865898192
GINGER BY LIFESTYLE,4.101225865898192
ALLEN SOLLY WOMAN,4.101225865898192
STYLE QUOTIENT,4.266666667
CLORA CREATION,4.049180328
HERE&NOW,4.55
TOKYO TALKIES,3.942446043
INDO ERA,4.144257703
SOCH,4.101225865898192
MITERA,3.758865248
FABLESTREET,3.285714286
ANOUK,4.555555556
MINOS,4.101225865898192
CAMPUS SUTRA,4.101225865898192
FOREVER 21,4.101225865898192
